#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
新安	55785.576009395023,2779411.0449755918	25.122055,121.553203
下竹林	55254.518897521906,2779885.0732672233	25.126354,121.547956
格致國中	55090.95742699418,2780382.4154112581	25.1308499,121.546354
山仔后派出所	55088.59462361953,2781095.2367349961	25.1372852,121.5463592
文化大學	54392.80678137709,2780960.6322597074	25.1360953,121.5394534
陽明天主堂	54806.712029562652,2781229.4241362237	25.1385069,121.543569
文化大學一	-45183.692156446014,2623275.1903623091	23.7126897,120.5568788
磺溪底	63201.698038448216,2788394.1975698196	25.202859,121.627157
陽明山中國大飯店	55351.469798872909,2781807.1975009115	25.143703,121.548995
福壽橋	-1115.4042512011986,2718841.6846177094	24.5762325,120.9889873
福壽橋	63354.77452962492,2765818.2686408572	24.9990435,121.6276349
聯勤陽明山招待所	55376.49744734251,2782296.6772967004	25.148121,121.549263
錫安堂	55399.765391565117,2782425.8181634243	25.149286,121.549499
教師中心	55396.479232781014,2782465.2385891215	25.149642,121.549468
中山樓	55719.626437646431,2783118.7578324443	25.1555299,121.5526997
中山樓	55729.261297824771,2783161.3438370861	25.155914,121.552797
陽明山	55232.76193182436,2782907.4274013219	25.15364,121.547862
陽明山總站	55062.274541123923,2782684.2003321717	25.151631,121.546162
文化大學(一)	-45183.692156446014,2623275.1903623091	23.7126897,120.5568788
陽明戲院	53051.180735222137,2775552.13917993	25.087316,121.525939
社正路	51414.054708685,2775716.0930884164	25.0888528,121.5097155
國泰人壽大樓	51388.34048271065,2775914.624473406	25.090646,121.509468
社子公園	51072.969920689589,2775955.3090656828	25.091024,121.506343
永平街口	20594.313214459369,2766582.7194895116	25.0071293,121.2040368
永平街口	-56355.435272835166,2661412.1660123006	24.056687,120.4458553
永平街口	-44186.586963614223,2651257.4378532153	23.9653833,120.5658168
永平街口	-83169.976043411923,2609253.5934797945	23.5845725,120.1851504
永平街口	50870.46523738042,2776106.4138788613	25.092395,121.504341
永倫里	50492.984987822791,2776109.3852805654	25.0924345,121.5005988
中窟	50068.047782676142,2776438.7349396329	25.095422,121.496398
許英媽廟	49957.472190395849,2776803.6399937109	25.09872,121.495315
福安宮	-51986.428618255486,2673116.6151944594	24.162517,120.4883947
福安宮	-51266.485563634174,2659999.8562120106	24.044108,120.4959433
福安宮	42306.827148045937,2763956.0511590107	24.9829647,121.4190683
福安宮	-7791.6233154945057,2649654.9932189751	23.9515088,120.9234462
福安宮	-66034.812855255412,2598863.722815387	23.4915465,120.3534798
福安宮	77064.5856195265,2782568.8197555323	25.1496239,121.764383
福安宮	81029.860823819414,2729990.7467811448	24.6747619,121.8006409
福安宮	63146.186609689394,2666779.0473561184	24.104888,121.6211489
福安宮	-56833.013501684567,2658428.3648813679	24.0297289,120.441276
福安宮	-60754.11823583435,2645719.199685758	23.9148309,120.403258
福安宮	50482.53798356864,2793456.3198487563	25.24904,121.501135
福安宮	-57490.102799743043,2622646.3592158421	23.706619,120.436217
福安宮	-42973.413708236221,2654872.9176744786	23.998062,120.5776309
福安宮	-64139.274844392108,2648635.7367698159	23.941032,120.3698819
福安宮	-38567.886293473326,2600043.2270530844	23.503081,120.6223609
福安宮	-66157.5988570036,2636602.1954211965	23.832297,120.350597
福安宮	-87072.830027299933,2569186.8624451123	23.2225939,120.149231
福安宮	-72415.62095478359,2557193.6724311416	23.1150069,120.2930029
福安宮	-47553.084911814207,2589841.1364058284	23.4107189,120.5347069
福安宮	-72802.503007160631,2597171.3173636105	23.475976,120.287306
明安宮	50017.186474994451,2777516.869477225	25.105157,121.495933
工業區	41994.746921579776,2765895.3876982676	25.000482,121.416036
浮洲活動中心	49606.549515532985,2778083.0511087775	25.110282,121.491882
萬金路口	49063.680838216387,2777964.1137064258	25.109226,121.486495
沙埔	-7293.7470088994505,2731552.4638643512	24.690979,120.927921
福安國中	49208.050248214233,2777281.199642201	25.103056,121.487902
臨江園	49476.439005060725,2777114.0269809	25.101538,121.490557
地藏禪寺	49528.656111889868,2776899.9926029597	25.099604,121.491067
下竹圍	48390.412938993235,2774147.9938439936	25.074796,121.479685
福安消防隊	49883.513917013348,2776617.8335665371	25.097045,121.494575
福安里	-37877.965252120717,2675203.6226610714	24.1817634,120.6271805
福安里	49696.66775214878,2777266.1813217928	25.1029044,121.492746
福安里	49818.067431024341,2773602.212223839	25.0698223,121.4938169
福安里	44765.743607912838,2765523.760224835	24.9970476,121.4434752
福安里	48082.115489986878,2775658.5832946631	25.0884434,121.4766818
普濟堂	50113.332004554257,2776365.9056947278	25.094763,121.4968443
普濟堂	28896.11391678041,2753248.0748252678	24.8866041,121.2860075
士林國小	52960.652510741311,2776134.8689446333	25.09258,121.525064
士林國小	-7070.1074651108775,2693532.1453514211	24.3476963,120.9303207
蘆洲總站	46984.733476130568,2775724.7164890058	25.089075,121.465805
捷運蘆洲站	46849.2303550037,2775998.7301950264	25.091553,121.464471
仁愛國小	55705.549358985918,2769918.2183677414	25.036358,121.552025
仁愛街口	44828.754588384247,2769889.042648084	25.0364559,121.4442412
仁愛街口	5539.7859656423507,2733165.0115340161	24.7055456,121.0547522
仁愛街口	45075.675419290084,2784756.3242924069	25.1706701,121.4471759
仁愛街口	21039.745186950255,2750760.4287616094	24.8642732,121.2082097
仁愛街口	49855.5114816732,2638517.0671053445	23.8501783,121.4894519
仁愛街口	51427.202077205111,2637983.2991747074	23.8453089,121.5048627
仁愛街口	1124.8019166418562,2747802.9691032646	24.8377163,121.0111287
仁愛街口	-29022.756373039323,2688548.1236837483	24.3024415,120.7140691
仁愛街口	-28677.619518439184,2683035.9305845695	24.2526775,120.7175794
仁愛街口	-45958.572775905028,2658224.5710380538	24.0282414,120.5481859
仁愛街口	-62125.6233853578,2610840.0508966953	23.599842,120.3912537
仁愛街口	-56775.141542486454,2661319.1661486356	24.0558323,120.4417321
仁愛街口	-84069.3526173069,2607903.5703764413	23.5723365,120.1764156
仁愛街口	-72456.820305677262,2552505.0361083476	23.072667,120.2928223
仁愛街口	50189.625347794667,2773936.0637322683	25.072824,121.497512
臨時站	43891.081310280621,2757465.8502670508	24.924325,121.434555
樓厝	47882.428690791829,2775797.0700666662	25.0897,121.474707
復興路	31305.823778332047,2764660.13707605	24.9895883,121.3101158
復興路	36879.8111092619,2759058.9370484175	24.938894,121.3651817
復興路	29675.840540199377,2749949.0573031241	24.8568042,121.2936546
