#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
台北新市民二	42651.2049225956,2769024.8692598278	25.028717,121.422636
台北新市民二	43173.379084973989,2768156.5583340977	25.020863,121.427783
台北新市民二	42311.624915037355,2768727.1845220597	25.026039,121.419262
台北新市民二	43353.893783422915,2768360.6053540353	25.0227,121.429578
台北新市民二	43017.702658944552,2768075.873612449	25.020139,121.426238
台北新市民二	43172.969950279963,2768062.3955333661	25.0200129,121.427776
台北新市民二	42213.221932295579,2768532.5981913079	25.024285,121.418281
台北新市民二	42235.98185694516,2768385.018579321	25.022952,121.418502
台北新市民二	43103.381482088633,2767726.1255031638	25.016979,121.427076
台北新市民二	43104.594844241,2768173.6206675018	25.021019,121.427102
台北新市民二	43221.036816258078,2767128.1436553933	25.011577,121.428223
台北新市民二	43488.509731136306,2768175.611850976	25.021026,121.430906
台北新市民二	43491.776826048685,2766735.6750081177	25.008026,121.430893
台北新市民二	42209.562383502074,2768508.4400915452	25.024067,121.418244
台北新市民二	43032.4271760103,2767405.7908250894	25.014089,121.426363
台北新市民二	42973.975191550962,2767698.9130379669	25.016737,121.425793
台北新市民二	43566.19142255422,2768153.6950417464	25.0208259,121.431675
台北新市民二	43098.326356912716,2767696.8564931825	25.0167149,121.427025
台北新市民二	42249.44385147807,2768437.6736122961	25.023427,121.418637
台北新市民二	53881.315130696014,2770889.6635030583	25.0451942,121.533986
台北新市民二	42264.9180180105,2768492.328657378	25.02392,121.418792
台北新市民二	43126.887557832808,2768017.4012663234	25.019608,121.427318
台北新市民二	43364.654593271356,2768499.8714480787	25.023957,121.429689
台北新市民二	43201.11481875764,2768066.7045909017	25.020051,121.428055
台北新市民二	42323.611911605309,2768408.55028089	25.023162,121.419371
台北新市民二	42971.825290826237,2767364.9051758833	25.0137216,121.4257613
台北新市民二	43295.942574877263,2768112.1856932621	25.0204589,121.428996
台北新市民二	42296.988098561473,2768597.7655079933	25.024871,121.419113
台北新市民二	46186.448269800625,2770508.2053277185	25.0420049,121.457716
台北新市民三	40609.900169341272,2760377.9980209088	24.9507077,121.4021548
台北新市民三	43157.847769455751,2768184.9648819519	25.0211199,121.42763
台北新市民三	42328.716180672243,2768715.7067851746	25.0259349,121.419431
台北新市民三	46148.143643360643,2770257.2020253805	25.03974,121.457328
台北新市民三	43392.305870730037,2768468.6126159178	25.023674,121.429962
台北新市民三	43070.830208698586,2767845.2173179658	25.0180551,121.4267572
台北新市民三	42210.962295127676,2768512.6534893387	25.024105,121.418258
台北新市民三	42250.859917446411,2768404.0053907349	25.023123,121.41865
台北新市民三	42875.257516854537,2767508.6410006532	25.015022,121.424809
台北新市民三	42663.37394460776,2768973.7336913915	25.028255,121.422755
台北新市民三	43632.714442273151,2768307.7712606629	25.022215,121.432339
台北新市民三	43116.14496478111,2768159.4791410952	25.020891,121.427216
台北新市民三	43237.844549002606,2767143.371596395	25.011714,121.42839
台北新市民三	42973.552761901483,2767544.2836028216	25.015341,121.425784
台北新市民三	43463.175744235625,2768207.8747460875	25.021318,121.430656
台北新市民三	43479.183253388343,2766696.5349051137	25.007673,121.430767
台北新市民三	42767.611635648667,2768687.3990032328	25.025667,121.423779
台北新市民三	43722.057618694613,2768426.2433127249	25.023282,121.433228
台北新市民三	43031.733416867042,2767433.8122127024	25.014342,121.426357
台北新市民三	42968.830649630363,2767665.8888631188	25.016439,121.425741
台北新市民三	42232.282973184971,2768340.9226358174	25.022554,121.418464
台北新市民三	43523.336848354709,2768173.175077681	25.021003,121.431251
台北新市民三	42259.873371200876,2768459.1942857625	25.023621,121.418741
台北新市民三	43511.753178479332,2768359.4454140491	25.022685,121.4311421
台北新市民三	42283.4273996944,2768511.88056327	25.024096,121.418976
台北新市民三	43146.104261951856,2768036.5135094523	25.01978,121.427509
台北新市民三	43355.933825277185,2768512.9140904872	25.024075,121.429603
台北新市民三	43216.785345324111,2768090.1144997161	25.0202619,121.428211
台北新市民三	42306.903288195441,2768394.0990933203	25.023032,121.419205
台北新市民三	42952.169416197859,2767347.0545568406	25.013561,121.425566
台北新市民一	37361.362200939955,2766094.3876472712	25.0023999,121.3701399
台北新市民一	41121.936107581809,2772071.53247873	25.0562649,121.4075735
台北新市民一	43146.037464628163,2768185.6032722979	25.021126,121.427513
台北新市民一	42334.856518581524,2768720.8320767377	25.025981,121.419492
台北新市民一	43152.2710371558,2768065.2433122946	25.0200392,121.427571
台北新市民一	43387.86774243055,2768467.8231716128	25.023667,121.429918
台北新市民一	43112.668868938163,2768077.6126910187	25.020152,121.427179
台北新市民一	42240.25275182155,2768407.2955646948	25.023153,121.418545
台北新市民一	42882.526525848,2767507.9992021606	25.015016,121.424881
台北新市民一	42663.151015683557,2768980.4896762832	25.028316,121.422753
台北新市民一	43471.996670748558,2766861.6627966254	25.009164,121.430701
台北新市民一	43588.512960117179,2768338.3122440721	25.022492,121.431902
台北新市民一	43122.081392105822,2768165.2465787269	25.0209429,121.427275
台北新市民一	43166.288668840774,2767077.5726485862	25.011122,121.427679
台北新市民一	42979.206575945362,2767543.7364689182	25.0153359,121.42584
台北新市民一	43462.324116978416,2768190.0388305122	25.021157,121.430647
台北新市民一	43497.697990519118,2766714.6484705443	25.007836,121.430951
台北新市民一	42769.908899496353,2768695.0489925519	25.025736,121.423802
台北新市民一	43719.863176397746,2768418.1504247766	25.023209,121.433206
台北新市民一	42973.274317131589,2767665.0056296149	25.0164309,121.425785
台北新市民一	42222.484176168291,2768343.8830260532	25.022581,121.418367
台北新市民一	43525.368036748616,2768169.1939942841	25.020967,121.431271
台北新市民一	43507.579859760954,2768370.5751203075	25.0227856,121.4311011
台北新市民一	42271.711879374845,2768514.6134578623	25.024121,121.41886
台北新市民一	43138.1248453188,2768038.4821044561	25.019798,121.42743
台北新市民一	43353.222662560445,2768508.5745687471	25.0240359,121.429576
台北新市民一	43207.900737169206,2768091.0943820653	25.020271,121.428123
台北新市民一	42315.692873657965,2768391.1245632018	25.0230049,121.419292
台北新市民一	42959.94038536647,2767347.3004951887	25.013563,121.425643
台北新市民一	42973.447228550285,2767706.3326425171	25.016804,121.425788
紫微路24號	42509.849279644332,2756883.3519070791	24.9191053,121.4208622
紫和橋	38468.965131231431,2752269.7680520946	24.87756,121.380729
福德莊土雞城	-1789.118799679957,2741252.0562859625	24.77857,120.982307
台灣松下公司	-27508.309524027318,2441572.4469567537	22.072176,120.733446
紫微路109號	41606.954187334442,2756479.49053194	24.9154841,121.4119113
白雞行修宮	40591.9137135853,2755325.8787373826	24.9050964,121.4018288
靈隱寺	-26566.852382938949,2681975.0749092903	24.243136,120.7383859
靈隱寺	-29974.514092931837,2654365.1708432049	23.993776,120.7054009
靈隱寺	-45644.342751073869,2549704.2145086424	23.048329,120.5545871
聖明宮	61916.616463334722,2775518.9679108276	25.086679,121.613824
紫微南路33號	42393.294932003162,2755072.9282812742	24.9027636,121.419653
紫微南路32號	42393.294932003162,2755072.9282812742	24.9027636,121.419653
紫微天后宮	42636.200192160904,2755741.18430707	24.90879,121.422078
三峽區農會	44555.146203623779,2762981.062982765	24.974098,121.441307
三峽區農會	34234.326701089791,2765015.5756465304	24.992734,121.339134
長泰街一	50605.272805631335,2768432.3684316427	25.0231229,121.5014299
長泰街二	50606.281841758668,2768435.1524040205	25.023148,121.50144
光明路永安街口	-42819.503554912946,2685007.0273392322	24.2701523,120.5782522
光明路永安街口	22237.182942845466,2761109.1111673904	24.9576885,121.2202253
光明路永安街口	-43064.371187656761,2651715.4328651158	23.9695495,120.5768301
大埔路中正路口	36965.999824801416,2755898.9577672314	24.9103627,121.3659509
大埔路口	-37625.237068934657,2577845.6010544905	23.3026566,120.632145
大埔路口	-37070.541414500731,2580626.1139907078	23.3277778,120.6375
陽明營區	-69283.228048484045,2578864.2228900492	23.310823,120.322597
濟公廟路口	-39192.812652453445,2627797.1192909623	23.7536784,120.6155111
濟公廟路口	52361.554802444865,2775672.74585417	25.0884289,121.519107
湊合橋	38412.9355838153,2752277.6307387748	24.8776324,121.3801747
五寮4號	38239.057480516727,2751810.338398993	24.8734179,121.378441
歡樂谷	38162.130474053345,2751566.5696091475	24.871219,121.377673
增產橋	51477.48985875387,2610990.8269002996	23.6015774,121.5044178
鐘鼎山林	77298.80220032674,2751759.5086514121	24.871479,121.764981
富國橋	-65384.128233387892,2540655.8158346722	22.9659606,120.3623515
五寮國小	36355.791608258543,2750200.9581040377	24.8589339,121.3597611
尚義橋	-54472.376597349357,2611107.2650478361	23.6025307,120.4662326
向天坡	35299.1084538337,2749302.60117672	24.850848,121.349282
新峰	35121.099088000883,2749475.5990175819	24.852414,121.347525
五寮	36346.079120223745,2750239.5994519703	24.859283,121.359666
大同路中華路口	37467.723969989471,2757749.747522424	24.9270599,121.3709677
大同路中華路口	52559.136696404072,2641363.357350131	23.8757919,121.5160955
大同路中華路口	-84043.604960974772,2617230.9936292889	23.656556,120.1761415
大同路中華路口	22329.275085695474,2558299.9431307083	23.1264305,121.2180237
正義街	37214.287742957924,2756569.2224524394	24.916408,121.3684268
正義街	-32432.128257969678,2669263.2823797958	24.1282482,120.6809145
正義街	45834.844729101365,2768232.6782606216	25.021472,121.454156
正義街	61698.753685026393,2653337.7841934194	23.9835838,121.6063415
正義街	-11894.021128724231,2732752.9327304158	24.701789,120.8824496
正義街	-32054.156345619471,2651329.6446872791	23.9663262,120.6850284
正義街	-56423.689414685359,2661169.4428389547	24.054493,120.4451936
正義街	-47891.267763688069,2623510.1528318971	23.714733,120.5303184
正義街	-70341.276901905469,2578125.7448428893	23.3041097,120.312287
正義街	-76483.4251968671,2547618.4611243648	23.0283609,120.2537684
正義街	-69167.41897627835,2540208.5641463869	22.9617692,120.3254775
福利橋	37380.281152990377,2756107.7034260677	24.9122372,121.3700577
嘉添里	39820.685593136208,2754946.5964058856	24.9016925,121.3941835
添福里	38378.378860338176,2754428.7208388913	24.897054,121.3798921
添福里巡守隊	38378.378860338176,2754428.7208388913	24.897054,121.3798921
三峽陶瓷公司	37031.47524850355,2758443.3916762904	24.933333,121.366667
鹿窟仔	89163.350580906728,2762160.1540848557	24.9647222,121.8830556
成福橋	43279.670123209573,2757334.45999245	24.9231563,121.4284976
三十股路口	43546.921455129224,2755948.1775308824	24.910633,121.4311
竹崙路117號	43831.746812431629,2755865.445521751	24.9098779,121.433917
竹崙茶廠	43129.184049610158,2757182.6500392449	24.92179,121.427003
九鬮	43207.189980824463,2757558.7167131281	24.925183,121.427787
建安一	32188.215794499152,2760289.5446469509	24.9501109,121.318755
建安一	43265.522871939807,2768826.6361910845	25.0269099,121.428717
建安一	54547.631243867276,2763138.7135879234	24.975195,121.540283
建安一	44937.22076986629,2757887.7005276461	24.928103,121.444926
建安一	44738.649214782265,2757454.3966308893	24.9241969,121.442946
建安一	43001.029138738821,2768489.9390637111	25.0238777,121.4260857
建安一	43113.816489333141,2768440.1730478723	25.0234252,121.4272017
建安一	32241.73376874562,2760290.6672122679	24.9501199,121.319285
建安一	32362.178230314741,2760387.8794080918	24.950995,121.32048
建安一	32269.342825384603,2760316.2075844007	24.9503499,121.319559
建安一	32225.684994569987,2760326.1954292981	24.950441,121.3191269
建安一	43240.701851778627,2768761.0953407786	25.0263189,121.428469
建安一	32255.022116410742,2760351.1749443081	24.9506659,121.319418
建安一	32199.997866835765,2760303.5394900315	24.950237,121.318872
建安一	32281.218306483279,2760376.2800465641	24.950892,121.319678
建安一	54483.715839280529,2763139.8992149625	24.975208,121.53965
建安一	32346.3215980872,2760388.9496305403	24.951005,121.320323
建安一	32296.953057216011,2760341.2052792725	24.950575,121.319833
建安一	32323.959676841077,2760365.1936676288	24.950791,121.320101
建安一	32308.224361355977,2760400.4899298125	24.95111,121.319946
建安一	32430.972693467404,2760504.9963843562	24.9520509,121.321164
建安一	43066.69990217944,2768605.2641355675	25.024917,121.42674
建安一	43089.099428370326,2768594.1252820985	25.0248158,121.4269616
建安一	54256.641792745635,2763115.5155775072	24.974996,121.5374
建安一	54428.420837051533,2763156.8371325321	24.9753629,121.539103
建安一	43037.913308207048,2768548.6831873795	25.024407,121.426453
建安一	43019.535303563054,2768580.7361839809	25.0246969,121.4262719
建安一	43090.096555100463,2768578.7542063221	25.024677,121.426971
建安一	58633.827572578484,2654382.8027848667	23.9931355,121.5762643
建安一	58626.954163140646,2654376.5946761016	23.9930797,121.5761965
建安國小	45159.2641345171,2757690.8148243092	24.9263189,121.447118
建安國小	55123.279352087062,2769140.4851158881	25.029358,121.546224
建安二	32212.194507349857,2760269.9959272747	24.9499339,121.318992
建安二	43242.3505258701,2768814.1682194336	25.026798,121.428487
建安二	54545.244308030444,2763154.9756666273	24.9753419,121.54026
建安二	44937.22076986629,2757887.7005276461	24.928103,121.444926
建安二	44810.538381392755,2757493.4095172021	24.924547,121.443659
建安二	32400.938957792889,2760437.4819057081	24.951442,121.320865
建安二	43110.471547377041,2768582.3629390197	25.024709,121.427173
建安二	32220.475070549604,2760265.695628114	24.9498949,121.3190739
建安二	32375.845703801184,2760373.0694463397	24.950861,121.320615
建安二	32250.09545881168,2760299.1048431108	24.9501959,121.319368
建安二	43266.872000403244,2768776.6409957977	25.0264585,121.4287288
建安二	32244.0362486379,2760342.1773259845	24.9505849,121.319309
建安二	43276.490807673581,2768725.3206473952	25.0259949,121.4288225
建安二	32272.251864697075,2760367.3868445754	24.9508119,121.319589
建安二	43239.082891316291,2768794.3308898821	25.026619,121.428454
建安二	32216.323355223278,2760317.8551507657	24.9503659,121.319034
建安二	32298.751978543056,2760392.0496455268	24.951034,121.319852
建安二	54465.710536553852,2763148.3455550717	24.9752849,121.539472
建安二	32332.120118025807,2760373.2875114884	24.9508639,121.320182
建安二	43161.882340776596,2768633.2445986057	25.0251669,121.427684
建安二	32276.996830557167,2760324.9758557603	24.9504289,121.319635
建安二	32305.11585050925,2760348.3133229678	24.950639,121.319914
建安二	32326.650899650587,2760423.0071248352	24.9513129,121.320129
建安二	32391.56790400371,2760471.6854854929	24.951751,121.320773
建安二	32390.728172682986,2760485.1854918934	24.9518729,121.320765
建安二	43066.439081682576,2768623.9826439875	25.025086,121.426738
建安二	43087.01073878703,2768597.1979725515	25.0248436,121.426941
建安二	54280.930034439465,2763101.2121646027	24.974866,121.53764
建安二	58635.074873974,2654386.3298212183	23.9931673,121.5762767
建安二	58625.767999745331,2654373.0457400442	23.9930477,121.5761847
鹿母潭	47059.2965623821,2756494.6383492742	24.915462,121.465889
安新站二	45934.78657029484,2758349.1228895327	24.932239,121.454818
四份仔一	46682.262136154386,2758323.7319109156	24.931987,121.462218
四份仔二	46682.262136154386,2758323.7319109156	24.931987,121.462218
四份仔三	46682.262136154386,2758323.7319109156	24.931987,121.462218
樟坑湖一	-28189.114251232706,2636862.5035932609	23.8357671,120.723285
樟坑湖一	-27043.109603772984,2643392.71072167	23.8947523,120.7344143
樟坑湖一	-28981.090874628735,2639385.7645865967	23.8585371,120.715461
樟坑湖一	-31977.977768423585,2611614.709031716	23.6077141,120.6866378
樟坑湖一	64581.545050848974,2778997.5132040917	25.1179706,121.6404056
樟坑湖一	58793.848636895651,2770556.2355468613	25.0420011,121.5826551
樟坑湖一	-31024.87332860586,2639867.4437969881	23.8628481,120.695385
樟坑湖一	-10338.5986518712,2660477.4557340327	24.0492164,120.8983451
樟坑湖一	-34001.130181238492,2640267.1936253938	23.8663971,120.666154
樟坑湖一	-38115.403589105852,2608221.1395827788	23.5769376,120.6265829
樟坑湖一	64756.139740752544,2777979.0105522419	25.1087684,121.6420888
樟坑湖二	-28200.029163091927,2636854.9941671849	23.8356991,120.723178
樟坑湖二	-31977.977768423585,2611614.709031716	23.6077141,120.6866378
樟坑湖二	64581.545050848974,2778997.5132040917	25.1179706,121.6404056
樟坑湖二	58793.848636895651,2770556.2355468613	25.0420011,121.5826551
樟坑湖二	-31214.010149043312,2639584.8939139876	23.8602931,120.693534
樟坑湖二	-10338.5986518712,2660477.4557340327	24.0492164,120.8983451
樟坑湖二	-34006.258332369987,2640252.033362566	23.8662601,120.666104
樟坑湖二	-38125.52259892119,2608008.3946206286	23.5750163,120.6264892
樟坑湖二	64756.139740752544,2777979.0105522419	25.1087684,121.6420888
樟坑湖三	-28404.711497948341,2636791.8159253048	23.835125,120.72117
樟坑湖三	-28917.709978904804,2639298.0258824117	23.857746,120.716085
樟坑湖三	-40937.631130420719,2606324.7973234416	23.559745,120.598986
樟坑湖三	-30948.44149011507,2639935.3777766819	23.863463,120.696134
樟坑湖三	-31977.977768423585,2611614.709031716	23.6077141,120.6866378
樟坑湖三	-33981.940586709992,2640155.4045764217	23.8653881,120.666345
樟坑湖三	64581.545050848974,2778997.5132040917	25.1179706,121.6404056
樟坑湖三	58793.848636895651,2770556.2355468613	25.0420011,121.5826551
樟坑湖三	-10338.5986518712,2660477.4557340327	24.0492164,120.8983451
樟坑湖三	-38125.52259892119,2608008.3946206286	23.5750163,120.6264892
樟坑湖三	64756.139740752544,2777979.0105522419	25.1087684,121.6420888
樟坑湖四	-28155.34137545645,2636889.9027435887	23.8360151,120.723616
樟坑湖四	-28981.090874628735,2639385.7645865967	23.8585371,120.715461
樟坑湖四	-30949.885026822962,2639884.4373747064	23.863003,120.6961209
樟坑湖四	-31977.977768423585,2611614.709031716	23.6077141,120.6866378
樟坑湖四	64581.545050848974,2778997.5132040917	25.1179706,121.6404056
樟坑湖四	58793.848636895651,2770556.2355468613	25.0420011,121.5826551
樟坑湖四	-10338.5986518712,2660477.4557340327	24.0492164,120.8983451
樟坑湖四	-38115.403589105852,2608221.1395827788	23.5769376,120.6265829
樟坑湖四	64756.139740752544,2777979.0105522419	25.1087684,121.6420888
中華路光明路口	37670.584046792319,2758236.2536074715	24.9314472,121.3729894
中華路光明路口	76177.289197618738,2738167.8956426959	24.7488327,121.7531409
中華路光明路口	-62337.116969669973,2618914.1892757118	23.6727392,120.3888431
中華路光明路口	-55727.854912814029,2603000.1367462096	23.5292832,120.4542333
中華路愛國路口	37875.307102197148,2758401.0011976152	24.9329295,121.3750209
中華路愛國路口	77845.773313402286,2731128.1024859031	24.6851943,121.7692448
新北市立鶯歌陶瓷博物館	35590.600232600889,2760234.4176048716	24.9495373,121.3524464
中山路249巷	35028.3862553992,2761009.6304249321	24.9565492,121.3468986
中山路292號	50084.41154664904,2766144.1256195949	25.0024819,121.496186
中山路292號	22310.676944571886,2761038.2764211125	24.9570479,121.220952
中山路292號	48418.1664915908,2767940.9643776948	25.018758,121.479742
中山路292號	42438.567487283231,2764365.8557157153	24.9866608,121.4203858
中山路292號	-34137.210524560083,2706050.9727071417	24.460371,120.663264
中山路292號	34724.140306441019,2761065.9771340541	24.9570649,121.343887
中山路292號	51196.8273746708,2766700.8554468062	25.0074709,121.507227
中山路292號	10753.980963133659,2762784.8959723874	24.9729429,121.106515
中山路292號	-44660.161555204606,2681502.6638358608	24.23846,120.560232
中山路292號	-29015.364988581226,2682057.957295293	24.243841,120.714273
中山路292號	-34911.302745328823,2697409.6468268069	24.382332,120.65584
中山路292號	-29580.600732792336,2680599.6691296757	24.2306633,120.7087369
中山路292號	77767.685219472871,2730038.126612992	24.675358,121.7684129
中山路292號	78829.306399296562,2729915.2337559736	24.6741945,121.778895
中山路292號	-29921.491042705205,2678581.51158555	24.2124345,120.7054223
中山路292號	-9613.12204108748,2640300.5083656521	23.8670309,120.9056111
中山路292號	58103.584787336142,2652695.5563543867	23.9779206,121.570986
中山路292號	61701.602252565113,2653058.8093398642	23.9810648,121.6063577
中山路292號	1639.9250352909653,2747814.2628338407	24.8378178,121.0162253
中山路292號	85399.6697139371,2721269.3534400295	24.5957902,121.8432859
中山路292號	76697.710765231357,2741054.1053867	24.7748631,121.758444
中山路292號	-3917.7627094592503,2743877.2559005218	24.802268,120.961249
中山路292號	-44666.968792597938,2664675.7953212108	24.086528,120.560685
中山路292號	76286.347178361029,2739697.18087642	24.7626335,121.7543024
中山路292號	76282.1714861677,2738234.568338789	24.7494294,121.7541814
中山路292號	-27081.268059493203,2670854.9727760148	24.142721,120.733529
中山路292號	4653.34550929753,2755328.7055036412	24.905656,121.046065
中山路292號	77965.6241653672,2746280.8380386666	24.821985,121.771273
中山路292號	-32838.1891067061,2670959.996823844	24.1435599,120.676881
中山路292號	-12142.113861864809,2731176.2373581817	24.6875515,120.8800113
余厝巷口	-50310.76868907264,2647543.651637197	23.9316684,120.5057692
大湖路148號	69796.374888857856,2737957.844411144	24.7472401,121.6900481
名湖社區	34843.67918412073,2762542.6553182532	24.970394,121.345108
托兒所	36022.364587041455,2744524.7853176678	24.807695,121.356315
大湖路358號	34957.002224494448,2762804.3345280215	24.9727539,121.346237
中湖街70號	34982.023624329289,2762811.2657211046	24.9728159,121.346485
三福宮	6584.637965858954,2765741.0456961854	24.999656,121.065233
東湖里辦公處	62307.222529287588,2773689.1307786992	25.0701436,121.6176133
大湖路與湖山路口	70594.204110346065,2737746.5381328971	24.7452959,121.6979248
大湖路與湖山路口	34252.620535860522,2762713.8341042222	24.9719529,121.3392582
大湖路與湖山路口	50559.8716787807,2791045.773945617	25.2272756,121.5018133
大湖路與湖山路口	35609.46948314074,2771671.2416633479	25.0527909,121.3529281
大湖路與湖山路口	14611.79154710912,2763732.4456719253	24.9814655,121.1447354
大湖路與湖山路口	12920.784613929442,2766249.7392747789	25.0042079,121.1280089
大湖路與湖山路口	6286.3032974212547,2732145.9072153186	24.6963415,121.0621258
大湖路與湖山路口	-7909.6088708926009,2738921.098296023	24.7575052,120.9217933
大湖路與湖山路口	-56309.392968364009,2640108.5397935743	23.8643339,120.4471289
大湖路與湖山路口	35083.075325202604,2772332.9161929637	25.0587769,121.3477279
大湖路與湖山路口	69609.161890237941,2737327.9610935207	24.741562,121.688166
大湖路與湖山路口	70052.096014899129,2737354.7849108013	24.741784,121.692546
大湖路與湖山路口	68094.436491882065,2728731.6053986861	24.6640211,121.672775
大同社區	22063.21642073011,2750260.0415946119	24.859741,121.21833
大同社區	52328.127858984604,2771598.4591335068	25.0516477,121.5186207
湖山路土地公廟	54875.90028942615,2782713.608937752	25.1519033,121.5443146
湖山路土地公廟	34354.922026448345,2763046.4135760549	24.9749532,121.3402797
湖山路土地公廟	54309.824260681307,2783369.8790865415	25.1578485,121.5387259
湖山路土地公廟	-40608.320956851923,2622846.6719307126	23.7089423,120.6017608
國際三路6巷口	48341.566259711908,2784487.4143230808	25.168141,121.479565
國際三路6巷口	45505.271935844321,2792483.5050627016	25.240417,121.451695
國際三路6巷口	47999.399600230056,2787061.77490581	25.1913929,121.476261
國際二路22號	33936.035028963641,2763056.5345217693	24.975054,121.336131
朝陽街口	91780.946375247644,2768518.7000600575	25.0219664,121.9093995
朝陽街口	-3595.4627820358037,2650655.2539005247	23.9605558,120.9646716
朝陽街口	-55200.882535365592,2597078.7683107927	23.4758327,120.4596121
朝陽街52巷1號	34107.604744401484,2763407.4048878518	24.9782179,121.337839
大湖路700巷口	48960.643101928355,2792681.0566966445	25.2420916,121.4859999
大湖路700巷口	5653.5245146414809,2753584.8820456262	24.8899085,121.055959
大湖路700巷口	-7909.6088708926009,2738921.098296023	24.7575052,120.9217933
台北監獄	33444.77317056014,2763594.345139192	24.9799204,121.3312782
大湖路542號	14839.717952110263,2763379.0280619073	24.9782725,121.1469893
西湖街225號	34168.211629216392,2761921.0788688664	24.9647976,121.3384026
中山高架橋頭	34383.876468990835,2761175.5504936916	24.9580619,121.34052
中山高架橋頭	34585.941882581908,2761058.561154664	24.9570011,121.3425182
育樂街口	-45895.006999720055,2623902.1300146524	23.7183306,120.5498836
光明街超舜五金行	54455.433497658742,2761636.1568240435	24.9616332,121.5393107
西湖街289巷旁	-25326.185250387574,2715959.2074856525	24.55,120.75
大湖路125號	70074.028436849316,2737658.2954017678	24.7445231,121.692778
大湖路125號	-8098.8850116429112,2739218.8043679292	24.7601921,120.9199201
大湖路125號	34600.369288268361,2761619.5688395607	24.9620657,121.3426751
大湖路125號	13360.467609988154,2765523.7835762189	24.9976499,121.1323579
忠孝街口	50959.241709255541,2794340.3338771309	25.2570045,121.5059001
忠孝街口	44794.712717489318,2769884.0572986463	25.0364119,121.4439037
忠孝街口	14604.693601132429,2735017.6740391385	24.7222133,121.1443639
忠孝街口	-28858.256553637832,2683249.3293136037	24.254601,120.7157962
忠孝街口	50405.023847620912,2638685.3209275864	23.8516803,121.4948523
忠孝街口	-22728.868886362881,2685546.8988215821	24.275447,120.7761233
忠孝街口	-46292.839564832459,2658241.4745983011	24.0283843,120.5448993
忠孝街口	-46188.194060974725,2683105.3457117877	24.2528864,120.5451344
忠孝街口	50910.687477641564,2637541.0524039194	23.8413322,121.4997769
忠孝街口	-42696.902190751869,2650317.1734515829	23.956934,120.5804818
忠孝街口	-61477.583790182827,2611502.5695143011	23.605849,120.397576
忠孝街口	-83969.664749320407,2607953.5782928872	23.5727932,120.1773893
忠孝街口	-57862.663064900538,2594127.9802412638	23.4490953,120.4336693
忠孝街口	-71006.455968638649,2608727.8014841089	23.5804042,120.3043389
忠孝街口	-83101.258805479287,2568980.6408361923	23.220937,120.1880445
忠孝街口	-29000.214715797774,2683758.6255553425	24.2591969,120.7143879
中正一路460號	36816.022273571034,2760993.7892289357	24.9563639,121.3646015
建德社區	37691.806377267749,2757922.6085293544	24.928615,121.373191
建德社區	25826.813514194455,2756609.660670253	24.917009,121.255691
北鶯公園	34131.351263375778,2759123.8216934176	24.939544,121.3379686
東鶯里辦公處	35979.674797879081,2760547.4859410785	24.9523546,121.3563074
國慶街115巷口	35254.51171923292,2760932.3212561766	24.955846,121.349136
國慶街115巷口	46506.758702766732,2765405.9624401643	24.9959317,121.4607183
尖山路137號	34977.438624176095,2760112.6512601906	24.9484522,121.3463714
尖山路181號	34797.046622918446,2759990.9955282467	24.947358,121.344582
尖山路300-3號	34353.333011169685,2759663.0045565949	24.9444069,121.34018
高職西街	34063.857064527641,2759425.60460997	24.9422701,121.3373077
中正三路高速公路	57532.403829228941,2766829.9886896908	25.0084094,121.5699991
中正三路高速公路	29395.149339765056,2771207.0105989533	25.0487333,121.2913283
中正三路高速公路	49039.081768080774,2765058.9219712033	24.9927188,121.4857917
中正三路高速公路	-13826.567390711762,2730690.4690115037	24.6831514,120.8633703
中正三路高速公路	46411.423564299141,2628837.1590300123	23.7628771,121.4553359
中正三路高速公路	73858.066101255667,2781125.0023408611	25.1367506,121.7325027
中正三路高速公路	-37279.738911802488,2698999.7495635161	24.3966341,120.6324505
中正三路高速公路	-33182.387850016989,2675155.3122738483	24.1814332,120.6733979
中正三路高速公路	-29203.986480216736,2671643.9813510515	24.1498073,120.7126264
中正三路高速公路	-33939.28822706957,2655096.4687251449	24.0002994,120.6664173
中正三路高速公路	74953.044464113074,2742443.5573501475	24.7874933,121.7412671
中正三路高速公路	-32420.696059074162,2650659.8866988677	23.9602712,120.6814416
中正三路高速公路	-3485.6479264360896,2642304.3544316147	23.8851502,120.9657705
中正三路高速公路	-34293.237467571656,2656135.7395348516	24.0096758,120.662914
中正三路230巷口	-4259.197031130856,2730637.6091006985	24.6827304,120.9579121
中正三路230巷口	-3709.4548133887783,2651653.2764374134	23.9695673,120.963549
中正三路230巷口	-54392.916232664073,2654983.5826396365	23.998711,120.4653923
中正三路291巷口	-4259.197031130856,2730637.6091006985	24.6827304,120.9579121
中正三路291巷口	-3709.4548133887783,2651653.2764374134	23.9695673,120.963549
中正三路291巷口	-54392.916232664073,2654983.5826396365	23.998711,120.4653923
雙和活動中心	48267.618919990964,2768530.7041264218	25.024087,121.478271
雙和活動中心	52495.2260187541,2767638.8849522625	25.015895,121.520126
雙和活動中心	50861.719604817787,2770171.3695781361	25.038814,121.504035
雙和活動中心	54945.562291093134,2768185.3992004846	25.020742,121.544425
雙和活動中心	55620.290170482527,2767583.4492805661	25.015283,121.551086
